pickup_id,avg_weekday_trips,avg_weekend_trips,diff,percent_change,trend_category
238,4625.4,4035.9,-589.5,-12.7,変化なし
39,16.7,14.4,-2.3,-13.7,変化なし
203,4.8,4.1,-0.7,-14.3,変化なし
200,4.4,3.8,-0.6,-14.4,変化なし
63,5,4.3,-0.7,-14.4,変化なし
55,5.9,5,-0.9,-14.5,変化なし
254,8.9,7.6,-1.3,-14.7,変化なし
19,3.1,2.7,-0.5,-14.7,変化なし
71,12.5,10.6,-1.9,-15.2,変化なし
154,1.1,0.9,-0.2,-16.1,変化なし
143,2757.9,2309.8,-448.1,-16.2,変化なし
118,1,0.8,-0.2,-16.3,変化なし
220,8.8,7.4,-1.4,-16.3,変化なし
218,9.3,7.7,-1.5,-16.3,変化なし
166,1287.2,1066.5,-220.8,-17.2,平日増加
183,2,1.6,-0.3,-17.3,平日増加
131,5.3,4.4,-0.9,-17.4,平日増加
248,4.9,4,-0.9,-17.6,平日増加
250,5.9,4.8,-1.1,-18.4,平日増加
234,7176.2,5823.1,-1353.1,-18.9,平日増加
213,12.2,9.8,-2.4,-19.7,平日増加
231,3957,3165.3,-791.7,-20,平日増加
201,0.7,0.5,-0.1,-20.1,平日増加
134,18.6,14.8,-3.8,-20.2,平日増加
229,4523,3611,-912,-20.2,平日増加
128,1.8,1.4,-0.4,-20.5,平日増加
54,7.2,5.7,-1.5,-20.5,平日増加
95,35.9,28.6,-7.4,-20.5,平日増加
87,1690.2,1331.1,-359,-21.2,平日増加
219,19.7,15.5,-4.2,-21.4,平日増加
91,13.5,10.6,-2.9,-21.4,平日増加
180,3.9,3,-0.9,-22.3,平日増加
100,4916.3,3796.4,-1119.8,-22.8,平日増加
208,4.6,3.5,-1,-22.8,平日増加
51,11.7,9,-2.7,-23.1,平日増加
163,6475.2,4968.5,-1506.7,-23.3,平日増加
30,0.1,0.1,0,-23.9,平日増加
40,104.5,79.4,-25,-24,平日増加
33,234.2,178,-56.2,-24,平日増加
197,17.7,13.4,-4.3,-24.2,平日増加
262,2944,2214.5,-729.5,-24.8,平日増加
171,4.3,3.2,-1.1,-25.2,平日増加
84,0.1,0.1,0,-25.9,平日増加
32,5.7,4.3,-1.5,-25.9,平日増加
135,10.9,8,-2.8,-26.1,平日増加
